"許可番号","申請者住所","申請者法人名称","申請者役職","申請者氏名","営業者電話番号","営業所所在地","営業所名称","営業所電話番号","業種","詳細業種","初施行日","LocName","fX","fY","iConf","iLvl"
保生第597,,,,,,横須賀市若松町１−１２−７ 小瀬村若松ビル２−Ｃ,Ｓｅａ　Ｂｒｅａｍ ,,飲食店営業,飲食店（客席を設ける営業）,2022/11/1 0:00,"神奈川県/横須賀市/若松町/一丁目/１２番地","139.67186","35.27972","5","7"
保生第598,,,,,,横須賀市若松町３−１３,となりのどっか〜ん ,,飲食店営業,飲食店（客席を設ける営業）,2022/11/1 0:00,"神奈川県/横須賀市/若松町/三丁目/１３番地","139.67238","35.27847","5","7"
保生第603,,,,,,横須賀市若松町３−１３,スナック　セレナーデ ,,飲食店営業,飲食店（客席を設ける営業）,2022/11/1 0:00,"神奈川県/横須賀市/若松町/三丁目/１３番地","139.67238","35.27847","5","7"
保生第609,,,,,,横須賀市若松町１−１２−７ 小瀬村若松ビル３−Ａ,らん花 ,,飲食店営業,飲食店（客席を設ける営業）,2022/11/2 0:00,"神奈川県/横須賀市/若松町/一丁目/１２番地","139.67186","35.27972","5","7"
保生第615,,,,,,横須賀市池上４−１−４,ヒグチ　クレープ ,,菓子製造業,菓子,2022/11/2 0:00,"神奈川県/横須賀市/池上/四丁目/１番","139.64677","35.26412","5","7"
保生第619,,,,,,横須賀市米が浜通１−４ スタービルⅡ,ＭＡＣＨＵ　ＰＩＣＣＨＵ ,,飲食店営業,飲食店（客席を設ける営業）,2022/11/4 0:00,"神奈川県/横須賀市/米が浜通/一丁目/４番地","139.67580","35.27792","5","7"
保生第621,静岡県焼津市相川１２９７−１,株式会社Ｌｉｅｎ,代表取締役,濱川 大輔,054-664-4111,横須賀市佐原３−２１−２８,カレーハウスＣｏＣｏ壱番屋 横須賀佐原インター店,838-0429,飲食店営業,飲食店（客席を設ける営業）,2022/11/4 0:00,"神奈川県/横須賀市/佐原/三丁目/２１番","139.67847","35.23334","5","7"
保生第630,,,,,,横須賀市佐島２−７−３,ＭＡＲＫＡ ,897-1667,飲食店営業,飲食店（客席を設ける営業）,2022/11/7 0:00,"神奈川県/横須賀市/佐島/二丁目/７番","139.61166","35.22338","5","7"
保生第628,,,,,,横須賀市市内一円 （横浜８００　つ　９８０５）,Ｄａｄｄｙ'ｓ　Ｐｉｚｚａ ,,飲食店営業,自動車による営業(タンク容量200リットル),2022/11/8 0:00,"神奈川県/横須賀市","139.67229","35.28128","3","3"
保生第631,,,,,,横須賀市根岸町４−２４−１５ 根岸パークビル１０１,Ｍｏｎｄ　Ｋｉｔｃｈｅｎ ,,飲食店営業,飲食店（客席を設ける営業）,2022/11/9 0:00,"神奈川県/横須賀市/根岸町/四丁目/２４番","139.68100","35.25176","5","7"
保生第636,神奈川県横須賀市若松町２−７,丸三斉藤株式会社,代表取締役,齋藤 亮平,,横須賀市若松町２−７ ミウラプラザビル６Ｆ,２９０円酒場　精肉屋 ,,飲食店営業,飲食店（客席を設ける営業）,2022/11/10 0:00,"神奈川県/横須賀市/若松町/二丁目/７番地","139.67041","35.27909","5","7"
保生第638,神奈川県横浜市金沢区福浦２−１−２１,株式会社尾島商店,代表取締役,尾島 隆一,045-349-2761,横須賀市久里浜４−４−１０ ウイング久里浜店１Ｆ,ＢＥＮ−ＨＵＲ２９８ＯＪＩＭＡ ,887-0720,飲食店営業,飲食店（客席を設けない営業）,2022/11/10 0:00,"神奈川県/横須賀市/久里浜/四丁目/４番","139.70259","35.23084","5","7"
保生第642,,,,,,横須賀市武３−２１−１１ 第一原田ビル１Ａ,焼肉ちゃちゃ ,050-3562-0029,飲食店営業,飲食店（客席を設ける営業）,2022/11/11 0:00,"神奈川県/横須賀市/武/三丁目/２１番","139.64087","35.22026","5","7"
保生第643,,,,,,横須賀市武３−２１−１１ 第一原田ビル１Ａ,焼肉ちゃちゃ ,050-3562-0029,食肉販売業,食肉販売,2022/11/11 0:00,"神奈川県/横須賀市/武/三丁目/２１番","139.64087","35.22026","5","7"
保生第644,,,,,,横須賀市秋谷２−３−３５,バルヤンナイク ,,そうざい製造業,そうざい,2022/11/11 0:00,"神奈川県/横須賀市/秋谷/二丁目/３番","139.60240","35.23665","5","7"
保生第664,東京都世田谷区北烏山８−１３−２５−４０２,株式会社一〇八,代表取締役,山下 陽司,,横須賀市久里浜４−４−１０ ウイング久里浜１Ｆ,一〇八抹茶茶廊 ,,飲食店営業,飲食店（客席を設けない営業）,2022/11/15 0:00,"神奈川県/横須賀市/久里浜/四丁目/４番","139.70259","35.23084","5","7"
保生第655,,,,,,横須賀市小矢部２−３４−１,ナワールの台所 ,,菓子製造業,菓子,2022/11/16 0:00,"神奈川県/横須賀市/小矢部/二丁目/３４番","139.65953","35.25539","5","7"
保生第659,神奈川県横須賀市日の出町３−１２,有限会社松本工業,取締役,松本 美枝子,090-2452-6656,横須賀市日の出町３−１２,べんとう屋ふくろう ,090-2452-6656,飲食店営業,弁当屋,2022/11/16 0:00,"神奈川県/横須賀市/日の出町/三丁目/１２番","139.67836","35.27507","5","7"
保生第666,,,,,,横須賀市大滝町２−１１−１,福家 ,820-2775,そうざい製造業,そうざい,2022/11/16 0:00,"神奈川県/横須賀市/大滝町/二丁目/１１番地","139.67012","35.28156","5","7"
保生第668,神奈川県横浜市西区みなとみらい４−９−２−Ｄ２７０３号,有限会社中央立花,代表取締役,更屋 七三夫,045-242-2015,横須賀市若松町２−７−４,大衆酒場　天国中央駅前店 ,874-4020,飲食店営業,飲食店（客席を設ける営業）,2022/11/16 0:00,"神奈川県/横須賀市/若松町/二丁目/７番地","139.67041","35.27909","5","7"
保生第679,,,,,,横須賀市若松町３−１３ ３丁目テナント１Ｆ,横須賀夜市 ,,飲食店営業,飲食店（客席を設ける営業）,2022/11/18 0:00,"神奈川県/横須賀市/若松町/三丁目/１３番地","139.67238","35.27847","5","7"
保生第684,,,,,,横須賀市追浜東町３−４７,Kiku Caf ,865-4546,菓子製造業,菓子,2022/11/22 0:00,"神奈川県/横須賀市/追浜東町/三丁目/４７番地","139.63078","35.31536","5","7"
保生第686,,,,,,横須賀市粟田２−３４−１５ 松本様邸敷地内店舗,いこいカフェ　ＬＵＡＮＡ ,070-9024-8289,飲食店営業,飲食店（客席を設ける営業）,2022/11/22 0:00,"神奈川県/横須賀市/粟田/二丁目/３４番","139.68073","35.22733","5","7"
保生第687,,,,,,横須賀市野比１−１８−４,そば、和食処　やぶ善 ,848-1718,飲食店営業,飲食店（客席を設ける営業）,2022/11/22 0:00,"神奈川県/横須賀市/野比/一丁目/１８番","139.68454","35.21314","5","7"
