"許可番号","申請者住所","申請者法人名称","申請者役職","申請者氏名","営業者電話番号","営業所所在地","営業所名称","営業所電話番号","業種","詳細業種","初施行日","LocName","fX","fY","iConf","iLvl"
保生第735,,,,,,横須賀市ハイランド４−３−４,ＪＩＲＯ　ｓｔｏｒｅ ,,菓子製造業,菓子,2022/12/1 0:00,"神奈川県/横須賀市/ハイランド/四丁目/３番","139.69096","35.22383","5","7"
保生第737,,,,,,横須賀市若松町３−８ シンセイビル２０３号室,Ｂａｒ・Ｕｎｏ　Ｚｅｒｏ ,,飲食店営業,飲食店（客席を設ける営業）,2022/12/5 0:00,"神奈川県/横須賀市/若松町/三丁目/８番地","139.67238","35.27847","5","7"
保生第738,東京都杉並区高円寺北２−２２−７,株式会社ジャンプ,代表取締役,上村 機八郎,03-3337-9550,横須賀市大滝町２−２１−２７,ジャンプ横須賀中央店 ,845-9460,食肉販売業,食肉販売,2022/12/6 0:00,"神奈川県/横須賀市/大滝町/二丁目/２１番地","139.66872","35.28063","5","7"
保生第739,,,,,,横須賀市大矢部３−１７−１,ミニストップ　横須賀大矢部店 ,046-833-8702,飲食店営業,飲食店（客席を設ける営業）,2022/12/8 0:00,"神奈川県/横須賀市/大矢部/三丁目/１７番","139.67761","35.24069","5","7"
保生第740,,,,,,横須賀市市内一円 （横浜４８４　む　７）,Ｍ'ｓ　ｋｉｔｃｈｅｎ ,,飲食店営業,自動車による営業(タンク容量40リットル),2022/12/8 0:00,"神奈川県/横須賀市","139.67229","35.28128","3","3"
保生第742,,,,,,横須賀市若松町３−８,ＳＴＡＲＬＩＧＨＴ ,876-9007,飲食店営業,飲食店（客席を設ける営業）,2022/12/9 0:00,"神奈川県/横須賀市/若松町/三丁目/８番地","139.67238","35.27847","5","7"
保生第743,東京都港区六本木５−５−１,株式会社ＷＤＩ　ＪＡＰＡＮ,代表取締役,清水 謙,,横須賀市若松町２−３０ 横須賀モアーズシティ９階,カプリチョーザ　トマト＆ガーリック 横須賀モアーズ店,822-8558,飲食店営業,飲食店（客席を設ける営業）,2022/12/9 0:00,"神奈川県/横須賀市/若松町/二丁目/３０番地","139.66986","35.27821","5","7"
保生第755,千葉県千葉市美浜区中瀬１−５−１,イオンリテール株式会社,代表取締役,井出 武美,043-232-6000,横須賀市久里浜５−１３−１,イオン久里浜店　水産 ,838-5200,魚介類販売業,魚介類販売,2022/12/12 0:00,"神奈川県/横須賀市/久里浜/五丁目/１３番","139.70410","35.22908","5","7"
保生第756,神奈川県横須賀市太田和１−５−９,株式会社ニラＣＯＲＰＯＲＡＴＩＯＮ,代表取締役,ラナ・バット・ニラ,,横須賀市野比１−７−２ 菱沼ビル１０２,ＤＩＰカレーハウス ,874-8810,飲食店営業,飲食店（客席を設ける営業）,2022/12/12 0:00,"神奈川県/横須賀市/野比/一丁目/７番","139.68362","35.21404","5","7"
保生第749,神奈川県鎌倉市小町２−１−５,株式会社ビィバリュー,代表取締役,荒井 國明,0467-25-4551,横須賀市汐入町１−１−１ ヴェルニー公園内,アマルフィイ　マリナブルー ,854-7721,飲食店営業,飲食店（客席を設ける営業）,2022/12/14 0:00,"神奈川県/横須賀市/汐入町/一丁目/１番地","139.65723","35.28447","5","7"
保生第760,,,,,,横須賀市長坂２−９−４,美舞 ,,そうざい製造業,そうざい,2022/12/14 0:00,"神奈川県/横須賀市/長坂/二丁目/９番","139.62093","35.22839","5","7"
保生第752,,,,,,横須賀市若松町３−８ 山崎ビル１Ｆ−Ａ,小料理　ゆきえ ,,飲食店営業,飲食店（客席を設ける営業）,2022/12/16 0:00,"神奈川県/横須賀市/若松町/三丁目/８番地","139.67238","35.27847","5","7"
保生第753,神奈川県横須賀市上町１−１２−２ 加藤店舗,ＣＨＩＮＯ株式会社,取締役,ジ・シ・プル,046-876-5004,横須賀市上町１−１ 協立ビル１Ｆ,HUNGRY HOUSE DINING BAR ,,飲食店営業,飲食店（客席を設ける営業）,2022/12/16 0:00,"神奈川県/横須賀市/上町/一丁目/１番地","139.67010","35.27671","5","7"
